"",,Life,,,,Life,
Age,Annuity,Estate,Remainder,Age,Annuity,Estate,Remainder
0,35.7962,.78752,.21248,55,18.2063,.40054,.59946
1,35.9247,.79034,.20966,56,17.7479,.39045,.60955
2,35.7413,.78631,.21369,57,17.2885,.38035,.61965
3,35.5451,.78199,.21801,58,16.8294,.37025,.62975
4,35.3405,.77749,.22251,59,16.3716,.36018,.63982
5,35.1288,.77283,.22717,60,15.9157,.35014,.64986
6,34.9113,.76805,.23195,61,15.4612,.34015,.65985
7,34.6879,.76313,.23687,62,15.0072,.33016,.66984
8,34.4592,.75810,.24190,63,14.5539,.32019,.67981
9,34.2243,.75293,.24707,64,14.1019,.31024,.68976
10,33.9832,.74763,.25237,65,13.6515,.30033,.69967
11,33.7364,.74220,.25780,66,13.2022,.29045,.70955
12,33.4841,.73665,.26335,67,12.7532,.28057,.71943
13,33.2279,.73101,.26899,68,12.3056,.27072,.72928
14,32.9698,.72533,.27467,69,11.8603,.26093,.73907
15,32.7106,.71963,.28037,70,11.4190,.25122,.74878
16,32.4509,.71392,.28608,71,10.9834,.24164,.75836
17,32.1900,.70818,.29182,72,10.5543,.23219,.76781
18,31.9272,.70240,.29760,73,10.1322,.22291,.77709
19,31.6606,.69653,.30347,74,9.7161,.21375,.78625
20,31.3893,.69056,.30944,75,9.3047,.20470,.79530
21,31.1127,.68448,.31552,76,8.8971,.19574,.80426
22,30.8313,.67829,.32171,77,8.4935,.18686,.81314
23,30.5445,.67198,.32802,78,8.0946,.17808,.82192
24,30.2516,.66554,.33446,79,7.7024,.16945,.83055
25,29.9523,.65895,.34105,80,7.3195,.16103,.83897
26,29.6468,.65223,.34777,81,6.9479,.15285,.84715
27,29.3342,.64535,.35465,82,6.5888,.14495,.85505
28,29.0156,.63834,.36166,83,6.2419,.13732,.86268
29,28.6908,.63120,.36880,84,5.9048,.12991,.87009
30,28.3603,.62393,.37607,85,5.5759,.12267,.87733
31,28.0242,.61653,.38347,86,5.2572,.11566,.88434
32,27.6823,.60901,.39099,87,4.9524,.10895,.89105
33,27.3342,.60135,.39865,88,4.6612,.10255,.89745
34,26.9802,.59356,.40644,89,4.3834,.09644,.90356
35,26.6196,.58563,.41437,90,4.1189,.09062,.90938
36,26.2530,.57757,.42243,91,3.8711,.08516,.91484
37,25.8802,.56936,.43064,92,3.6437,.08016,.91984
38,25.5008,.56102,.43898,93,3.4356,.07558,.92442
39,25.1150,.55253,.44747,94,3.2433,.07135,.92865
40,24.7224,.54389,.45611,95,3.0624,.06737,.93263
41,24.3228,.53510,.46490,96,2.8936,.06366,.93634
42,23.9164,.52616,.47384,97,2.7382,.06024,.93976
43,23.5035,.51708,.48292,98,2.5931,.05705,.94295
44,23.0843,.50786,.49214,99,2.4526,.05396,.94604
45,22.6601,.49852,.50148,100,2.3168,.05097,.94903
46,22.2308,.48908,.51092,101,2.1838,.04804,.95196
47,21.7976,.47955,.52045,102,2.0540,.04519,.95481
48,21.3601,.46992,.53008,103,1.9258,.04237,.95763
49,20.9188,.46021,.53979,104,1.7901,.03938,.96062
50,20.4732,.45041,.54959,105,1.6576,.03647,.96353
51,20.0241,.44053,.55947,106,1.4900,.03278,.96722
52,19.5725,.43059,.56941,107,1.2900,.02838,.97162
53,19.1187,.42061,.57939,108,.9879,.02173,.97827
54,18.6633,.41059,.58941,109,.4892,.01076,.98924
"",,Life,,,,Life,
Age,Annuity,Estate,Remainder,Age,Annuity,Estate,Remainder
0,33.8755,.81301,.18699,55,17.7438,.42585,.57415
1,34.0116,.81628,.18372,56,17.3073,.41538,.58462
2,33.8528,.81247,.18753,57,16.8693,.40486,.59514
3,33.6819,.80836,.19164,58,16.4310,.39434,.60566
4,33.5029,.80407,.19593,59,15.9935,.38384,.61616
5,33.3173,.79961,.20039,60,15.5572,.37337,.62663
6,33.1261,.79503,.20497,61,15.1218,.36292,.63708
7,32.9292,.79030,.20970,62,14.6864,.35247,.64753
8,32.7272,.78545,.21455,63,14.2510,.34202,.65798
9,32.5194,.78047,.21953,64,13.8164,.33159,.66841
