Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,3579620,21248.35,55,27088.80,493187.0,16238.69
1,96931.51,3482231,20322.43,56,26300.80,466783.8,16031.56
2,94775.99,3387420,20252.74,57,25517.40,441157.8,15811.93
3,92690.83,3294707,20207.28,58,24736.86,416305.3,15578.14
4,90661.61,3204029,20172.99,59,23957.60,392224.3,15328.67
5,88683.09,3115332,20145.78,60,23179.30,368913.7,15063.20
6,86750.36,3028570,20121.83,61,22402.72,346372.2,14782.53
7,84862.33,2943697,20100.99,62,21629.37,324597.3,14488.23
8,83016.22,2860671,20081.45,63,20859.39,303585.7,14180.50
9,81212.74,2779450,20064.83,64,20091.92,283334.6,13858.56
10,79450.84,2699993,20051.01,65,19326.92,263841.4,13522.41
11,77727.96,2622258,20038.27,66,18565.34,245103.3,13173.06
12,76042.43,2546210,20025.81,67,17808.50,227116.2,12811.95
13,74389.68,2471812,20009.81,68,17055.38,209875.9,12438.11
14,72764.74,2399036,19985.96,69,16304.83,193379.4,12050.48
15,71165.19,2327854,19952.41,70,15555.14,177624.9,11647.39
16,69589.49,2258242,19908.15,71,14805.21,162612.1,11227.75
17,68038.98,2190177,19855.08,72,14055.12,148341.3,10791.61
18,66514.86,2123633,19794.94,73,13305.33,134812.4,10339.46
19,65020.21,2058581,19731.42,74,12558.94,122023.5,9874.419
20,63556.49,1994992,19666.66,75,11818.76,109969.8,9399.425
21,62123.76,1932836,19601.36,76,11087.22,98643.99,8917.056
22,60720.17,1872083,19534.34,77,10365.23,88037.10,8428.417
23,59346.40,1812703,19466.92,78,9653.253,78139.42,7934.186
24,58002.44,1754668,19399.75,79,8950.635,68941.37,7433.925
25,56688.27,1697947,19333.45,80,8256.608,60434.09,6927.058
26,55402.67,1642511,19267.42,81,7571.842,52608.73,6414.450
27,54146.15,1588333,19202.81,82,6898.795,45454.91,5898.787
28,52915.87,1535385,19137.40,83,6241.524,38959.01,5384.426
29,51711.34,1483641,19071.24,84,5605.978,33102.43,4877.725
30,50531.03,1433076,19003.35,85,4996.790,27861.39,4383.839
31,49374.01,1383668,18933.32,86,4414.770,23209.39,3904.164
32,48239.89,1335392,18861.26,87,3860.612,19119.21,3439.990
33,47128.80,1288227,18787.80,88,3338.434,15561.24,2996.086
34,46039.37,1242150,18712.06,89,2852.085,12501.92,2577.043
35,44972.20,1197140,18635.12,90,2404.595,9904.275,2186.701
36,43925.53,1153175,18555.68,91,1996.719,7729.500,1826.670
37,42899.06,1110236,18473.88,92,1629.600,5937.831,1498.967
38,41892.94,1068301,18390.31,93,1306.169,4487.487,1207.444
39,40905.96,1027353,18304.20,94,1028.105,3334.408,954.7482
40,39938.30,987371.0,18216.14,95,794.8091,2434.017,741.2607
41,38989.66,948336.8,18126.25,96,602.6492,1743.842,564.2847
42,38058.94,910232.2,18033.83,97,447.4660,1225.271,420.5100
43,37145.13,873039.8,17938.25,98,325.3528,843.6779,306.7919
44,36247.26,836743.4,17838.90,99,231.8324,568.5872,219.3235
45,35362.95,801328.4,17733.72,100,161.5922,374.3701,153.3561
46,34491.83,766781.7,17622.63,101,110.0356,240.2955,104.7491
47,33631.76,733091.1,17503.75,102,73.00925,149.9574,69.71019
48,32782.88,700245.8,17377.47,103,47.09355,90.69179,45.09833
49,31944.29,668235.1,17243.12,104,29.54100,52.88140,28.37761
50,31116.17,637048.7,17101.10,105,17.81123,29.52324,17.16172
51,30297.37,606676.8,16950.48,106,10.45669,15.58098,10.11391
52,29485.85,577111.3,16789.40,107,5.846627,7.541866,5.680706
53,28681.03,548345.2,16617.43,108,3.146424,3.108269,3.078042
54,27882.07,520372.4,16433.87,109,1.585993,.7759261,1.568923
Age,,o,_,Age,,o,_
x,Dx,Nx,Mx,x,Dx,Nx,Mx
0,100000.0,3387554,18698.71,55,24327.16,431657.5,13967.38
1,96742.19,3290355,17773.67,56,23573.37,407992.3,13781.55
2,94406.13,3195914,17704.19,57,22826.53,385068.6,13584.89
3,92148.78,3103743,17658.95,58,22085.08,362880.3,13375.96
4,89955.39,3013771,17624.89,59,21347.59,341422.8,13153.44
5,87820.42,2925937,17597.93,60,20613.73,320692.3,12917.12
6,85738.71,2840187,17574.23,61,19884.19,300684.9,12667.76
7,83708.88,2756468,17553.65,62,19160.29,281395.7,12406.79
8,81727.93,2674730,17534.40,63,18442.12,262819.0,12134.46
9,79796.27,2594926,17518.05,64,17728.89,244949.6,11850.10
10,77912.64,2517007,17504.48,65,17020.56,227782.6,11553.77
11,76074.23,2440926,17492.00,66,16317.92,211312.9,11246.41
12,74279.21,2366641,17479.82,67,15622.13,195534.1,10929.31
13,72522.86,2294110,17464.21,68,14932.25,180439.9,10601.69
14,70800.15,2223299,17440.98,69,14247.25,166025.2,10262.64
15,69108.54,2154174,17408.36,70,13565.62,152285.7,9910.762
16,67446.38,2086707,17365.43,71,12886.39,139218.7,9545.145
17,65814.83,2020866,17314.04,72,12209.62,126821.7,9165.896
18,64214.87,1956623,17255.92,73,11535.71,115092.1,8773.497
19,62649.30,1893943,17194.66,74,10867.32,104025.8,8370.698
20,61119.34,1832793,17132.31,75,10206.87,93616.03,7960.080
21,59624.87,1773137,17069.58,76,9556.397,83854.02,7543.901
22,58163.91,1714941,17005.32,77,8916.643,74729.48,7123.136
23,56736.94,1658173,16940.80,78,8287.947,66231.68,6698.387
24,55343.78,1602797,16876.65,79,7669.694,58349.98,6269.295
25,53984.21,1548782,16813.44,80,7061.172,51074.43,5835.386
26,52656.88,1496094,16750.63,81,6462.902,44395.14,5397.419
27,51362.12,1444701,16689.28,82,5876.927,38300.96,4957.703
28,50097.06,1394574,16627.29,83,5306.628,32778.06,4519.954
29,48861.08,1345682,16564.72,84,4756.969,27808.45,4089.566
30,47652.57,1297997,16500.63,85,4231.759,23369.83,3670.883
31,46470.51,1251494,16434.65,86,3731.547,19437.77,3265.040
32,45314.41,1206146,16366.90,87,3256.776,15987.33,2873.080
33,44184.23,1161928,16297.96,88,2810.771,12991.73,2498.969
34,43078.57,1118815,16227.02,89,2396.603,10420.98,2146.499
35,41997.85,1076781,16155.10,90,2016.631,8242.446,1818.812
36,40940.28,1035804,16080.98,91,1671.292,6422.117,1517.161
37,39905.48,995861.2,16004.82,92,1361.342,4925.385,1243.133
38,38893.45,956929.3,15927.15,93,1089.022,3716.156,999.8345
39,37902.97,918986.9,15847.29,94,855.5115,2756.651,789.3518
40,36934.07,882012.6,15765.77,95,660.0883,2008.877,611.8753
41,35986.36,845985.2,15682.72,96,499.5221,1436.807,465.0388
42,35058.73,810884.3,15597.50,97,370.1699,1007.815,345.9823
